"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Belarus","BLR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7662811279297","","","","","","","","","","99.7918395996094","","","","","","","","","","99.8232116699219","","","100","","","","","","","99.8728332519531","","",
"Belize","BLZ","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.641471862793","","","","","","","","","84.2230529785156","87.1999969482422","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","83.5519790649414","","","","","","","","","","","","","","","","93.896110534668","","","","","","","","","97.3237762451172","","98.3000030517578","","","","99.4413604736328","99.1224975585938","99.3839721679688","","99.0075225830078","98.9958801269531","","","99.399169921875","","","","","99.5565872192383","",
"Brazil","BRA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","83.9142684936523","","","","","","","","","","","","","","","","","","","","94.1841125488281","","","","96.8438568115234","","97.5822982788086","97.8006286621094","97.8436279296875","98.0655364990234","97.5141220092773","98.4869232177734","98.6196594238281","98.7366790771484","98.8456878662109","98.963752746582","99.1109619140625","99.1554107666016","99.2041702270508","","","99.4000015258789",
"Barbados","BRB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","99.7551879882813","","","","","","","","","","99.9000015258789","","","","99.9000015258789","","","","","","","","","","99.9000015258789","","","","","","","","","","99.9000015258789","","","","","","","","100","","99.9000015258789","","","","","","","",
"Brunei Darussalam","BRN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","93.6810073852539","","","","","","","","","","98.0956726074219","","","","","","","","","","98.8937911987305","","","","","","","","","","99.3667678833008","","","","","","","99.7089385986328","","","99.7699966430664",
"Bhutan","BTN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.4052124023438","","","","","","","86.0590133666992","","","","","93.0906295776367","","","","97.3000030517578",
"Botswana","BWA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.25830078125","","","","","","","","","","","","93.9574432373047","","","","","","","","","","97.4562911987305","","","","","","","","",
"Central African Republic","CAF","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","37.0369606018066","","","","","","","","","","","","","48.2023315429688","","","","","","","","","","","","60.8070487976074","","","","","","","","","","36.3562698364258","","","","","","","","38.2686500549316","","38.3400001525879","",
"Canada","CAN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","99.3956680297852","99.3956069946289","99.3941192626953","99.4173202514648","99.4135665893555","99.4091186523438","99.4072418212891","99.4027709960938","99.4031066894531","99.4007720947266","99.3970184326172","99.3937225341797","99.3894424438477","99.3858032226563","99.3835830688477","99.3835296630859","99.380859375","99.3847732543945","99.1642074584961","99.1619415283203","99.1446228027344","99.1270904541016","99.1054077148438","99.0827865600586","99.0675430297852","99.046028137207","99.0346603393555","99.0450668334961","99.3486175537109","99.3712387084961","99.3943862915039","99.4126205444336","99.4340972900391","99.4529190063477","99.467658996582","99.4906997680664","99.5000305175781","99.5044174194336","99.5067825317383","99.5094909667969","",
"Switzerland","CHE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","96.6539764404297","","","","","","","","","","98.4279708862305","","","","","","","","","","98.9909820556641","","","","","","99.1535797119141","98.8723831176758","","99.4081878662109","","99.0482788085938","","99.3539428710938","","99.008659362793","","","","99.0999984741211",
"China","CHN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","88.7733383178711","","","","","","","","94.2814712524414","","","","","","","","","","98.8587265014648","","","","","","","","","","99.6422882080078","","","","","","","","99.7835998535156","","99.8099975585938","",
"Cote d'Ivoire","CIV","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.5084800720215","","","","","","","","","","47.058708190918","","60.7236518859863","","","","","","","","","","","","48.3099594116211","","53.0206909179688","","","","","83.6264724731445","","",
"Cameroon","CMR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","68.8170318603516","","","","","","","","","","","","","","","","","","","","","","","","83.0982894897461","","","","75.1100006103516","","","83.1355667114258","","","80.5744400024414","80.6600036621094","","","","","","","85.0800018310547","","86.2399978637695","",
"Congo, Dem. Rep.","COD","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.416259765625","","","","","","65.7765274047852","","","","","83.5975494384766","85.9800033569336","","","84.9895095825195","","","","","87.9000015258789",
"Congo, Rep.","COG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","87.4961700439453","","","","","","","","","","","","","","","","","","","","","78.5683517456055","","","","","","80.913948059082","","","","","","","82.0547866821289","","","82.3600006103516",
"Colombia","COL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.4846496582031","","","96.995002746582","","","","","","","","97.9913101196289","97.9583969116211","97.883171081543","97.9686279296875","97.9892730712891","97.9374313354492","98.0984191894531","98.2393798828125","","","98.5409469604492","98.5347290039063","98.6683120727539","","98.8516464233398","98.8267593383789","99.0118179321289","",
"Comoros","COM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","61.713020324707","","","","","","","","","","","","","","","","","","","","80.1857604980469","","","","","","","","","","","","71.5812683105469","","","","","","78.270393371582","","","81.2099990844727",
"Cabo Verde","CPV","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.1679000854492","","","","","","","","","","95.870002746582","","","","","","","","","","","","98.1289672851563","","","98.1113128662109","","","","","","98.6800003051758",
"Costa Rica","CRI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","97.148193359375","","","","","","","","","","","","","","","","97.6147003173828","","","","","","","","","","","99.1336975097656","","","","","","","99.4300003051758","","","99.5299987792969",
